id,user_id,event_id,session_id,check_in_time,qr_token
55398366-6068-4680-a161-1a289f0850c3,d7ce9a4e-ab23-4058-9ed7-04f8a8377e0d,8ab136db-af7e-4428-a861-1d9c21aad10e,,2026-03-02 15:19:21.950,qr_3b89ad01
78ac9044-0a3e-4ed0-934d-4a235f38830a,4c699e1a-e949-4914-a420-0b295837f783,9d534d4e-dc03-49d5-bc71-56dfe3fd6914,,2026-03-08 15:19:21.952,qr_4866defb
877d2236-c349-442d-8647-ecee848d817d,9e9a9a25-204b-4c05-b378-252fb40a0f16,a9bf4219-948f-4957-9e45-5e4949aaa023,,2026-03-03 15:19:21.953,qr_0a45f4d3
17960917-9d27-441b-9576-0ff377ad5044,99624f39-44a6-4f50-82a1-86b4498ab5d6,4fa771ca-11d2-4a7d-830a-809082703291,,2026-03-10 15:19:21.954,qr_76f4a9b7
75390883-e0ea-4dfa-bcd5-93250165e588,874cceda-d069-4356-a666-dae3f04f8f0b,eb2d4d28-07e0-4e07-9d91-0a1969555ae9,,2026-02-26 15:19:21.955,qr_a58d35ec
7f9fd5d2-9868-4327-a855-00918451567f,be351f36-e076-4db6-a66e-2b2c4b249567,867f0884-1b6f-4505-90e9-9177f1fdcb17,,2026-03-17 15:19:21.956,qr_84a8729b
bfbb83f4-7bc3-4ffc-8072-4352080a01cd,c029ea2d-2f55-4b11-8d50-7f9289803c42,076677af-ae78-4f4d-a0a4-fed320324add,,2026-02-18 15:19:21.957,qr_b849b5c6
ae0bc100-874c-4552-804d-0311d47f4ebd,fcfc943c-0c7c-4a90-a9dd-36120ff78e3f,33f7bc74-721f-4500-b374-b89287ea1a83,,2026-02-19 15:19:21.958,qr_cdc0cc37
05147f61-ec65-43bf-b8ed-3c6f6b2f1223,5db7d277-984a-486a-8b2c-9b5948345a6d,9d6b03e7-6dd6-4592-9eeb-d9e3bd85567d,,2026-03-12 15:19:21.958,qr_ab6abe60
57dd1f36-cef0-4769-a553-8bc440814423,4dc0f433-b40f-450f-ab5f-d6b81a23779b,a9bf4219-948f-4957-9e45-5e4949aaa023,,2026-02-18 15:19:21.959,qr_95220331
